,cliente,data_hora,estabelecimento,id_transacao,valor
0,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-04-12 20:25:48,"{'categoria': 'Online', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",709aae1b-e50a-4c45-9e8d-6651d1ea108d,255.22
1,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-06-16 05:27:43,"{'categoria': 'Restaurante', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",178d57c0-8aad-43b7-995c-27a836717815,819.11
2,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-01-28 15:13:46,"{'categoria': 'Varejo', 'cidade': 'Aragão', 'estado': 'Santa Catarina'}",62893669-896e-44d2-8ea2-20827c4de9aa,1913.87
3,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-07-18 22:27:31,"{'categoria': 'Restaurante', 'cidade': 'Cunha', 'estado': 'Santa Catarina'}",8d707b94-c06b-4ce9-9311-e7024358b243,1563.36
4,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-02-09 19:29:46,"{'categoria': 'Online', 'cidade': 'Ribeiro', 'estado': 'Santa Catarina'}",7739a02f-749c-403b-9e13-922e45fd89a9,543.67
5,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-06-25 17:01:46,"{'categoria': 'Restaurante', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",2ea8056e-0e72-49bf-a5d9-46b82fc491bb,215.03
6,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-04-05 09:57:14,"{'categoria': 'Online', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",7dec84ab-6b37-48ce-a694-b261a49e09ac,696.99
7,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-05-10 14:38:12,"{'categoria': 'Varejo', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",e9d3bcdf-12d7-4420-8f7d-c96bd245477b,27.52
8,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-01-30 05:16:07,"{'categoria': 'Varejo', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",a72ac70e-5544-4845-b904-ee71b6cced91,1514.27
9,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-11-09 05:50:32,"{'categoria': 'Online', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",b7baac6e-964e-47ce-acfc-e5bfe3f217b5,1769.26
10,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-05-22 09:32:15,"{'categoria': 'Online', 'cidade': 'da Conceição', 'estado': 'Santa Catarina'}",1d496ee2-b022-4551-85e3-1c00b6ad0b69,1916.36
11,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-05-24 21:25:41,"{'categoria': 'Varejo', 'cidade': 'Costela Alegre', 'estado': 'Santa Catarina'}",7af6b7a2-7ce3-48f3-a045-263beb3fa33b,967.58
12,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-04-11 06:09:15,"{'categoria': 'Supermercado', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",17db3360-50f4-4f3c-a662-ac4a1b84e54a,1093.24
13,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-03-09 09:48:07,"{'categoria': 'Restaurante', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",b4f29835-16c4-49cf-aa9b-ba5757e14b24,1583.12
14,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2023-01-12 22:13:51,"{'categoria': 'Varejo', 'cidade': 'Souza de Goiás', 'estado': 'Santa Catarina'}",be7ea9ed-85f4-406e-8e59-8663a5b44c46,188.06
15,"{'idade': 64, 'nome': 'Davi Jesus', 'renda_mensal': 2316.08}",2022-10-31 23:51:06,"{'categoria': 'Varejo', 'cidade': 'Lima da Prata', 'estado': 'Santa Catarina'}",457d4cf4-a2b4-4c0b-9a5f-2b0e3aa778a2,336.14
